starttime	seconds	ctime	dtime	ttime	wait
Sun Dec 11 17:01:57 2022	1670749317	0	358	358	357
Sun Dec 11 17:02:00 2022	1670749320	0	358	358	357
Sun Dec 11 17:01:57 2022	1670749317	0	358	358	357
Sun Dec 11 17:01:57 2022	1670749317	0	358	358	358
Sun Dec 11 17:01:55 2022	1670749315	0	358	358	358
Sun Dec 11 17:01:55 2022	1670749315	0	358	359	358
Sun Dec 11 17:01:57 2022	1670749317	0	358	359	358
Sun Dec 11 17:02:01 2022	1670749321	0	358	359	358
Sun Dec 11 17:01:58 2022	1670749318	0	358	359	358
Sun Dec 11 17:01:57 2022	1670749317	0	358	359	358
Sun Dec 11 17:01:56 2022	1670749316	0	359	359	358
Sun Dec 11 17:02:00 2022	1670749320	0	359	359	355
Sun Dec 11 17:02:01 2022	1670749321	0	359	359	356
Sun Dec 11 17:01:56 2022	1670749316	0	359	359	358
Sun Dec 11 17:01:56 2022	1670749316	0	359	359	358
Sun Dec 11 17:01:56 2022	1670749316	0	359	359	358
Sun Dec 11 17:01:57 2022	1670749317	0	359	359	358
Sun Dec 11 17:01:55 2022	1670749315	0	359	359	358
Sun Dec 11 17:01:58 2022	1670749318	0	359	359	359
Sun Dec 11 17:02:01 2022	1670749321	0	359	359	356
Sun Dec 11 17:01:58 2022	1670749318	0	359	359	359
Sun Dec 11 17:02:01 2022	1670749321	0	359	359	358
Sun Dec 11 17:02:01 2022	1670749321	0	359	359	358
Sun Dec 11 17:01:58 2022	1670749318	0	360	360	359
Sun Dec 11 17:02:00 2022	1670749320	0	360	360	359
Sun Dec 11 17:01:57 2022	1670749317	0	360	360	359
Sun Dec 11 17:01:58 2022	1670749318	0	360	360	359
Sun Dec 11 17:01:57 2022	1670749317	0	360	360	360
Sun Dec 11 17:01:57 2022	1670749317	0	360	360	359
Sun Dec 11 17:01:57 2022	1670749317	0	360	360	360
Sun Dec 11 17:01:58 2022	1670749318	0	360	360	358
Sun Dec 11 17:02:00 2022	1670749320	0	360	360	360
Sun Dec 11 17:01:56 2022	1670749316	0	360	361	360
Sun Dec 11 17:01:59 2022	1670749319	0	360	361	360
Sun Dec 11 17:01:55 2022	1670749315	0	360	361	360
Sun Dec 11 17:01:56 2022	1670749316	0	361	361	360
Sun Dec 11 17:01:56 2022	1670749316	0	361	361	360
Sun Dec 11 17:01:54 2022	1670749314	0	361	361	360
Sun Dec 11 17:01:54 2022	1670749314	0	361	361	360
Sun Dec 11 17:02:01 2022	1670749321	0	361	361	361
Sun Dec 11 17:01:57 2022	1670749317	0	361	361	361
Sun Dec 11 17:02:00 2022	1670749320	0	362	362	360
Sun Dec 11 17:01:58 2022	1670749318	0	362	362	361
Sun Dec 11 17:01:55 2022	1670749315	0	362	362	361
Sun Dec 11 17:01:57 2022	1670749317	0	362	362	361
Sun Dec 11 17:01:58 2022	1670749318	0	362	362	361
Sun Dec 11 17:01:56 2022	1670749316	0	362	362	361
Sun Dec 11 17:01:56 2022	1670749316	0	362	362	361
Sun Dec 11 17:01:57 2022	1670749317	0	362	362	361
